Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Jusuf Nurkic,@ NYK,NBA1H,Pts+Rebs+Asts,12,12.51,4.22%
Josh Morrissey,@ NSH,NHL,Shots on Goal,2,2.08,4.21%
Joshua Dobbs,vs CHI,NFL,Pass Yards,237.5,227.66,-4.14%
Nikola Jokic,vs SAS,NBA,Assists,10.5,10.07,-4.13%
Jarrett Allen,vs TOR,NBA1H,Pts+Rebs+Asts,12.5,13.02,4.13%
Justin Fields,@ MIN,NFL,Rush Yards,52.5,50.37,-4.06%
Nikola Vucevic,@ BKN,NBA,Fantasy Score,36,37.45,4.03%
Nikola Vucevic,@ BKN,NBA1H,Fantasy Score,18,18.72,4.03%
DeMar DeRozan,@ BKN,NBA,Fantasy Score,37.5,38.98,3.95%
Jayson Tatum,vs ATL,NBA,Points,30.5,29.30,-3.92%
Spencer Dinwiddie,vs CHI,NBA,Rebs+Asts,12.5,12.01,-3.90%
Dejounte Murray,@ BOS,NBA1H,Pts+Rebs+Asts,15,14.42,-3.88%
Reggie Jackson,vs SAS,NBA,Fantasy Score,25,25.97,3.88%
Reggie Jackson,vs SAS,NBA1H,Fantasy Score,12.5,12.99,3.88%
Victor Wembanyama,@ DEN,NBA,Fantasy Score,39.5,41.03,3.88%
RJ Barrett,vs PHX,NBA,Pts+Rebs,22.5,21.64,-3.84%
Franz Wagner,vs CHA,NBA,Pts+Rebs+Asts,28.5,27.41,-3.84%
Donovan Mitchell,vs TOR,NBA,Points,25.5,24.52,-3.84%
Trae Young,@ BOS,NBA,Points,25,24.04,-3.83%
Trae Young,@ BOS,NBA1H,Points,12.5,12.02,-3.83%
Jalen Suggs,vs CHA,NBA1H,Fantasy Score,12.5,12.03,-3.78%
Jayson Tatum,vs ATL,NBA,Rebs+Asts,14.5,15.04,3.72%
Immanuel Quickley,vs PHX,NBA,Pts+Asts,16.5,15.89,-3.70%
Keldon Johnson,@ DEN,NBA,Pts+Asts,21.5,22.29,3.66%
Bogdan Bogdanovic,@ BOS,NBA,Pts+Rebs+Asts,19.5,18.79,-3.64%
Evan Mobley,vs TOR,NBA,Pts+Rebs+Asts,28.5,29.54,3.64%
Jarrett Allen,vs TOR,NBA,Pts+Rebs,23.5,24.35,3.63%
Keaton Mitchell,@ LAC,NFL,Rush Yards,41.5,43.00,3.61%
Jayson Tatum,vs ATL,NBA1H,Pts+Rebs+Asts,23,22.17,-3.60%
Nikola Vucevic,@ BKN,NBA1H,Points,8.5,8.20,-3.56%
Nicolas Claxton,vs CHI,NBA1H,Points,6.5,6.27,-3.56%
Victor Wembanyama,@ DEN,NBA1Q,Points,4.5,4.66,3.53%
Immanuel Quickley,vs PHX,NBA1H,Pts+Rebs+Asts,9.5,9.83,3.50%
Zach LaVine,@ BKN,NBA,3-PT Made,2.5,2.59,3.49%
Josh Jacobs,vs KC,NFL2H,Fantasy Score,7,6.76,-3.47%
Immanuel Quickley,vs PHX,NBA,Pts+Rebs,17.5,16.90,-3.45%
De'Andre Hunter,@ BOS,NBA1H,Points,7,7.24,3.43%
Lamar Jackson,@ LAC,NFL,Pass + Rush Yds,282.5,272.92,-3.39%
Derrick White,vs ATL,NBA,Pts+Rebs,19.5,20.16,3.36%
Jalen Suggs,vs CHA,NBA,Pts+Rebs+Asts,19.5,18.85,-3.34%
Santi Aldama,vs MIN,NBA,Pts+Rebs,22.5,23.24,3.31%
Dejounte Murray,@ BOS,NBA,Pts+Rebs,24.5,23.69,-3.29%
Jalen Brunson,vs PHX,NBA,Pts+Asts,29.5,28.53,-3.29%
Jayson Tatum,vs ATL,NBA,Pts+Asts,35.5,34.34,-3.27%
Rudy Gobert,@ MEM,NBA,Pts+Rebs+Asts,26.5,27.36,3.25%
Nicolas Claxton,vs CHI,NBA1H,Pts+Rebs+Asts,11.5,11.87,3.23%
Mikal Bridges,vs CHI,NBA1H,Fantasy Score,18,17.42,-3.23%
Al Horford,vs ATL,NBA,Pts+Rebs+Asts,21.5,20.82,-3.19%
Roman Josi,vs WPG,NHL,Shots on Goal,3.5,3.61,3.17%
Michael Porter Jr.,vs SAS,NBA1Q,Points,5,4.84,-3.17%
Jaren Jackson Jr.,vs MIN,NBA,Free Throws Made,5,5.16,3.14%
Trae Young,@ BOS,NBA,Rebs+Asts,13,13.41,3.12%
Santi Aldama,vs MIN,NBA,Points,15.5,15.02,-3.12%
Joshua Dobbs,vs CHI,NFL1H,Pass Yards,117.5,113.83,-3.12%
Julius Randle,vs PHX,NBA1H,Pts+Rebs+Asts,17.5,18.03,3.06%
Clint Capela,@ BOS,NBA1H,Pts+Rebs+Asts,11.5,11.85,3.05%
Greg Joseph,vs CHI,NFL,Kicking Points,7.5,7.27,-3.05%
Jalen Suggs,vs CHA,NBA,Pts+Asts,15.5,15.04,-2.99%
Pascal Siakam,@ CLE,NBA,Pts+Rebs+Asts,32.5,31.53,-2.97%
Jayson Tatum,vs ATL,NBA,Pts+Rebs,40.5,39.31,-2.94%
Donovan Mitchell,vs TOR,NBA1H,Pts+Rebs+Asts,17.5,16.99,-2.94%
De'Andre Hunter,@ BOS,NBA,Pts+Asts,15.5,15.95,2.89%
D.J. Moore,@ MIN,NFL,Receptions,4.5,4.63,2.88%
Victor Wembanyama,@ DEN,NBA,Free Throws Made,4,3.88,-2.88%
Derrick White,vs ATL,NBA1H,Pts+Rebs+Asts,12.5,12.86,2.87%
Jalen Brunson,vs PHX,NBA,Pts+Rebs,27.5,26.71,-2.86%
Keldon Johnson,@ DEN,NBA,Pts+Rebs+Asts,27,27.76,2.81%
Dejounte Murray,@ BOS,NBA,Assists,5,5.14,2.81%
Trae Young,@ BOS,NBA,Pts+Asts,34.5,33.53,-2.80%
Travis Kelce,@ LV,NFL2H,Receiving Yards,36.5,37.52,2.80%
Keaton Mitchell,@ LAC,NFL,Rush + Rec Yds,53.5,55.00,2.80%
Trae Young,@ BOS,NBA,Pts+Rebs+Asts,38.5,37.45,-2.73%
Michael Porter Jr.,vs SAS,NBA,Pts+Rebs+Asts,28.5,27.74,-2.66%
Jarrett Allen,vs TOR,NBA,Points,13.5,13.14,-2.66%
Pascal Siakam,@ CLE,NBA,Pts+Rebs,27.5,26.77,-2.66%
Victor Wembanyama,@ DEN,NBA1H,Fantasy Score,20,20.52,2.58%
Jayson Tatum,vs ATL,NBA,Pts+Rebs+Asts,45.5,44.34,-2.54%
Keshon Gilbert,vs Texas A&M,CBB,Assists,2.5,2.44,-2.54%
Justin Herbert,vs BAL,NFL,Fantasy Score,18,18.45,2.51%
Dennis Schroder,@ CLE,NBA,Assists,5,4.88,-2.48%
Santi Aldama,vs MIN,NBA1H,Pts+Rebs+Asts,12.5,12.81,2.47%
Rudy Gobert,@ MEM,NBA,Points,13.5,13.83,2.45%
Mike Conley,@ MEM,NBA1H,Fantasy Score,12.5,12.81,2.45%
Zach LaVine,@ BKN,NBA1H,Points,11.5,11.78,2.44%
OG Anunoby,@ CLE,NBA1H,Points,8,7.80,-2.44%
Kentavious Caldwell-Pope,vs SAS,NBA,Pts+Rebs,16.5,16.90,2.43%
Keenan Allen,vs BAL,NFL1H,Fantasy Score,8.5,8.70,2.41%
Jayson Tatum,vs ATL,NBA1H,Points,15,14.65,-2.32%
Nikola Vucevic,@ BKN,NBA,Pts+Rebs,27.5,28.14,2.31%
Franz Wagner,vs CHA,NBA,Rebs+Asts,8.5,8.30,-2.31%
Kentavious Caldwell-Pope,vs SAS,NBA,Pts+Rebs+Asts,19.5,19.95,2.29%
Dejounte Murray,@ BOS,NBA,Pts+Rebs+Asts,29.5,28.84,-2.25%
Odell Beckham Jr,@ LAC,NFL1H,Fantasy Score,4.5,4.60,2.24%
Kyler Murray,vs LAR,NFL2H,Fantasy Score,9,9.20,2.24%
Justin Herbert,vs BAL,NFL,Pass + Rush Yds,269.5,263.50,-2.23%
Nicolas Claxton,vs CHI,NBA,Rebounds,9,9.19,2.16%
Cam Fowler,@ EDM,NHL,Blocked Shots,1.5,1.47,-2.15%
Mike Conley,@ MEM,NBA,Pts+Rebs+Asts,20.5,20.06,-2.14%
Joshua Dobbs,vs CHI,NFL,Pass Attempts,33,32.30,-2.12%
Jalen Brunson,vs PHX,NBA,Fantasy Score,38,37.20,-2.11%
Jalen Brunson,vs PHX,NBA1H,Fantasy Score,19,18.60,-2.11%
Miles Bridges,@ ORL,NBA,Fantasy Score,32.5,33.18,2.10%
Jarrett Allen,vs TOR,NBA,Pts+Rebs+Asts,25.5,26.03,2.09%
OG Anunoby,@ CLE,NBA1H,Pts+Rebs+Asts,11.5,11.26,-2.08%
Juuse Saros,vs WPG,NHL,Goalie Saves,26.5,25.95,-2.07%
Kentavious Caldwell-Pope,vs SAS,NBA,Points,13.5,13.22,-2.06%
Jakob Poeltl,@ CLE,NBA1H,Points,6,5.88,-2.05%
Zach Collins,@ DEN,NBA,Assists,3.5,3.57,2.03%
Johnny Russell,@ HOU,SOCCER,Shots,2,1.96,-2.00%
Keldon Johnson,@ DEN,NBA,Fantasy Score,32,31.37,-1.96%
Keldon Johnson,@ DEN,NBA1H,Fantasy Score,16,15.69,-1.96%
Evan Mobley,vs TOR,NBA,Points,15.5,15.80,1.93%
Al Horford,vs ATL,NBA,Pts+Asts,13.5,13.24,-1.93%
Jeremy Sochan,@ DEN,NBA1H,Pts+Rebs+Asts,9.5,9.68,1.93%
Michael Porter Jr.,vs SAS,NBA1H,Points,9.5,9.68,1.92%
Donovan Mitchell,vs TOR,NBA1H,Points,12.5,12.26,-1.92%
Trae Young,@ BOS,NBA,Pts+Rebs,28.5,27.96,-1.91%
Rudy Gobert,@ MEM,NBA,Pts+Rebs,25.5,25.98,1.88%
Gerald Everett,vs BAL,NFL1H,Fantasy Score,3.5,3.43,-1.88%
Jalen Brunson,vs PHX,NBA1H,Pts+Rebs+Asts,16.5,16.19,-1.87%
Evan Mobley,vs TOR,NBA1H,Pts+Rebs+Asts,14.5,14.77,1.85%
Justin Fields,@ MIN,NFL,Pass Yards,196.5,192.91,-1.83%
Amari Cooper,@ DEN,NFL2H,Receiving Yards,27.5,27.00,-1.82%
Jalen Suggs,vs CHA,NBA,Fantasy Score,24.5,24.06,-1.81%
Derrick White,vs ATL,NBA1H,Points,7.5,7.63,1.79%
Michael Porter Jr.,vs SAS,NBA,Pts+Asts,20.5,20.86,1.77%
Nikola Vucevic,@ BKN,NBA,Pts+Rebs+Asts,30.5,31.04,1.76%
Cole Kmet,@ MIN,NFL1H,Receiving Yards,18.5,18.82,1.75%
D.J. Moore,@ MIN,NFL1H,Receiving Yards,30.5,31.02,1.72%
Victor Wembanyama,@ DEN,NBA1H,Pts+Rebs+Asts,16,15.74,-1.63%
Derrick White,vs ATL,NBA,Pts+Asts,20.5,20.83,1.61%
Al Horford,vs ATL,NBA,Rebs+Asts,11,10.82,-1.60%
Julius Randle,vs PHX,NBA,Pts+Rebs+Asts,35.5,36.07,1.60%
Gus Edwards,@ LAC,NFL,Rush Attempts,12.5,12.30,-1.60%
Karl-Anthony Towns,@ MEM,NBA,Rebounds,9,8.86,-1.57%
Donovan Mitchell,vs TOR,NBA,Pts+Rebs+Asts,34.5,33.97,-1.53%
Kyren Williams,@ ARI,NFL2H,Fantasy Score,7.5,7.39,-1.52%
Derrick White,vs ATL,NBA,Points,15.5,15.27,-1.50%
Isaiah Likely,@ LAC,NFL1H,Fantasy Score,3.5,3.55,1.50%
Nicolas Claxton,vs CHI,NBA,Fantasy Score,33,33.47,1.44%
Nicolas Claxton,vs CHI,NBA1H,Fantasy Score,16.5,16.74,1.44%
Russell Wilson,vs CLE,NFL2H,Pass Yards,92.5,91.17,-1.44%
Kyler Murray,vs LAR,NFL4Q,Pass Yards,58.5,59.33,1.42%
Kentavious Caldwell-Pope,vs SAS,NBA,Pts+Asts,16.5,16.27,-1.41%
DeMar DeRozan,@ BKN,NBA,Blocked Shots,0.5,0.51,1.40%
Desmond Bane,vs MIN,NBA,Turnovers,2.5,2.53,1.36%
Jaylen Brown,vs ATL,NBA1H,Points,13,12.82,-1.36%
Miles Bridges,@ ORL,NBA,Pts+Asts,20.5,20.23,-1.34%
Stefon Diggs,@ PHI,NFL2H,Receiving Yards,39.5,40.03,1.34%
Donald Parham,vs BAL,NFL,Receiving Yards,14.5,14.69,1.34%
Donte DiVincenzo,vs PHX,NBA1H,Points,3.5,3.55,1.34%
Rudy Gobert,@ MEM,NBA1H,Pts+Rebs+Asts,13.5,13.68,1.33%
Odell Beckham Jr,@ LAC,NFL,Receptions,3,2.96,-1.33%
Jakobi Meyers,vs KC,NFL2H,Fantasy Score,4.5,4.44,-1.30%
Odell Beckham Jr,@ LAC,NFL,Receiving Yards,39.5,39.00,-1.27%
Nikola Jokic,vs SAS,NBA,Rebs+Asts,24,24.30,1.25%
Lamar Jackson,@ LAC,NFL,Fantasy Score,21.5,21.77,1.25%
Jalen Hurts,vs BUF,NFL2H,Fantasy Score,11.5,11.64,1.25%
Evan Mobley,vs TOR,NBA,Pts+Asts,18.5,18.73,1.24%
Mike Conley,@ MEM,NBA,Pts+Asts,17.5,17.28,-1.24%
Nicolas Claxton,vs CHI,NBA,Pts+Rebs,22,21.73,-1.22%
Jeremy Sochan,@ DEN,NBA,Fantasy Score,24,23.71,-1.22%
Jeremy Sochan,@ DEN,NBA1H,Fantasy Score,12,11.85,-1.22%
Trae Young,@ BOS,NBA1H,Pts+Rebs+Asts,18.5,18.72,1.21%
Justin Herbert,vs BAL,NFL,Pass Completions,23.5,23.22,-1.21%
Joshua Dobbs,vs CHI,NFL,Pass Completions,21.5,21.25,-1.14%
Derrick White,vs ATL,NBA,Assists,5.5,5.56,1.12%
Justin Herbert,vs BAL,NFL1H,Pass Yards,125.5,126.90,1.11%
Jarrett Allen,vs TOR,NBA1H,Points,6.5,6.57,1.08%
Pascal Siakam,@ CLE,NBA,Rebs+Asts,12,12.13,1.07%
Justin Fields,@ MIN,NFL1H,Pass Yards,97.5,96.45,-1.07%
Miles Bridges,@ ORL,NBA,Pts+Rebs+Asts,27.5,27.21,-1.05%
Nikola Vucevic,@ BKN,NBA,Pts+Asts,19.5,19.30,-1.05%
Nicolas Claxton,vs CHI,NBA,Pts+Rebs+Asts,23.5,23.74,1.04%
Colton Sissons,vs WPG,NHL,Hits,1.5,1.51,0.94%
Rashee Rice,@ LV,NFL2H,Fantasy Score,5,4.95,-0.94%
Justin Herbert,vs BAL,NFL,Pass Yards,251.5,253.79,0.91%
D.J. Moore,@ MIN,NFL,Receiving Yards,61.5,62.05,0.89%
Al Horford,vs ATL,NBA1H,Pts+Rebs+Asts,10.5,10.41,-0.88%
Immanuel Quickley,vs PHX,NBA,Pts+Rebs+Asts,19.5,19.67,0.85%
Rashee Rice,@ LV,NFL2H,Receiving Yards,21.5,21.68,0.83%
Isaiah Likely,@ LAC,NFL,Receiving Yards,30.5,30.75,0.82%
Miles Bridges,@ ORL,NBA1H,Pts+Rebs+Asts,13.5,13.61,0.79%
Lamar Jackson,@ LAC,NFL,Pass Attempts,28,27.80,-0.71%
Victor Wembanyama,@ DEN,NBA,Pts+Asts,21.5,21.65,0.69%
Jeremy Sochan,@ DEN,NBA,Pts+Rebs+Asts,19.5,19.37,-0.68%
Julius Randle,vs PHX,NBA,Pts+Asts,26.5,26.33,-0.65%
Nikola Vucevic,@ BKN,NBA,Points,16.5,16.40,-0.63%
Santi Aldama,vs MIN,NBA,Pts+Asts,17.5,17.39,-0.63%
Jaylen Brown,vs ATL,NBA,Points,25.5,25.65,0.57%
Mitchell Robinson,vs PHX,NBA,Rebounds,9.5,9.55,0.57%
Miles Bridges,@ ORL,NBA1H,Fantasy Score,16.5,16.59,0.55%
Clint Capela,@ BOS,NBA1H,Points,5.5,5.53,0.55%
Keldon Johnson,@ DEN,NBA,Rebounds,5.5,5.47,-0.51%
Donovan Mitchell,vs TOR,NBA,Rebs+Asts,9.5,9.45,-0.51%
Keshon Gilbert,vs Texas A&M,CBB,Rebounds,4.5,4.48,-0.50%
Jalen Brunson,vs PHX,NBA,Free Throws Made,4.5,4.48,-0.46%
Franz Wagner,vs CHA,NBA,Rebounds,5,4.98,-0.43%
Devin Booker,@ NYK,NBA,Rebs+Asts,11,10.95,-0.42%
Cole Kmet,@ MIN,NFL,Receiving Yards,37.5,37.65,0.40%
Anthony Edwards,@ MEM,NBA,Rebounds,5.5,5.48,-0.38%
Al Horford,vs ATL,NBA,Pts+Rebs,17.5,17.57,0.38%
Donovan Mitchell,vs TOR,NBA,Pts+Rebs,29.5,29.61,0.37%
Jalen Brunson,vs PHX,NBA,Pts+Rebs+Asts,32.5,32.38,-0.36%
Jaylen Brown,vs ATL,NBA,Pts+Asts,29.5,29.40,-0.34%
Nicolas Claxton,vs CHI,NBA,Points,12.5,12.54,0.30%
Kentavious Caldwell-Pope,vs SAS,NBA1H,Pts+Rebs+Asts,10,9.97,-0.27%
LaMelo Ball,@ ORL,NBA,Assists,7.5,7.48,-0.25%
Miles Bridges,@ ORL,NBA,Rebounds,7,6.99,-0.19%
Nikola Vucevic,@ BKN,NBA1H,Pts+Rebs+Asts,15.5,15.52,0.12%
Victor Wembanyama,@ DEN,NBA,Pts+Rebs,28.5,28.46,-0.12%
Santi Aldama,vs MIN,NBA1H,Points,7.5,7.51,0.11%
Patrick Mahomes,@ LV,NFL2H,Pass Yards,144.5,144.37,-0.09%
Trae Young,@ BOS,NBA,Assists,9.5,9.49,-0.08%
Michael Porter Jr.,vs SAS,NBA,Blocked Shots,0.5,0.50,-0.08%
Victor Wembanyama,@ DEN,NBA,Pts+Rebs+Asts,31.5,31.48,-0.07%
Keaton Mitchell,@ LAC,NFL1H,Rush Yards,21.5,21.50,0.00%
