Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Zion Williamson,vs SAC,NBA,Pts+Rebs+Asts,36.5,34.64,-5.09%
Zach Collins,vs LAC,NBA,Points,13.5,14.18,5.04%
Karl-Anthony Towns,vs NYK,NBA,Pts+Rebs+Asts,33.5,31.82,-5.03%
Bam Adebayo,@ CHI,NBA,Points,21.5,20.42,-5.01%
Brandon Ingram,vs SAC,NBA,Points,25.5,24.24,-4.96%
Brandon Ingram,vs SAC,NBA,Pts+Asts,31.5,29.94,-4.95%
Brandon Ingram,vs SAC,NBA,Assists,6,5.70,-4.94%
Duncan Robinson,@ CHI,NBA,Pts+Rebs+Asts,21.5,20.46,-4.82%
Paul George,@ SAS,NBA,Points,24.5,23.32,-4.80%
James Harden,@ SAS,NBA,Pts+Asts,24.5,25.67,4.79%
Karl-Anthony Towns,vs NYK,NBA,Fantasy Score,38.5,36.68,-4.72%
Jabari Smith Jr.,@ GSW,NBA,Pts+Asts,13.5,14.14,4.71%
DeMar DeRozan,vs MIA,NBA,Points,21.5,22.50,4.66%
Nikola Vucevic,vs MIA,NBA,Rebs+Asts,13.5,14.11,4.55%
De'Aaron Fox,@ NOP,NBA,Pts+Rebs,32.5,31.02,-4.55%
Jeremy Sochan,vs LAC,NBA,Fantasy Score,25,26.13,4.53%
Karl-Anthony Towns,vs NYK,NBA,Pts+Asts,24.5,23.39,-4.53%
Jalen Brunson,@ MIN,NBA,Points,23.5,22.44,-4.51%
Terance Mann,@ SAS,NBA,Rebounds,4,3.82,-4.49%
Andrew Wiggins,vs HOU,NBA,Pts+Asts,15,14.33,-4.44%
Jalen Brunson,@ MIN,NBA,Fantasy Score,35.5,37.08,4.44%
Jimmy Butler,@ CHI,NBA,Fantasy Score,40.5,42.29,4.43%
Chris Paul,vs HOU,NBA,Rebounds,4,4.18,4.40%
Ivica Zubac,@ SAS,NBA,Points,10.5,10.05,-4.30%
Doug McDermott,vs LAC,NBA,Points,6.5,6.78,4.28%
